id,genre,title,author,purchase_price,purchase_date
1307, Crime,And Then There Were None,Agatha Christie,4.82,13/10/2022
1308, LGBT,Middlesex,Jeffrey Eugenides,3.11,13/10/2022
1309, Fantasy,The Master and Margarita,Mikhail Bulgakov,13.56,13/10/2022
1310, High Fantasy,The Name of the Wind,Patrick Rothfuss,9.36,13/10/2022
1311, Classics,The Shining,Stephen King,7.59,13/10/2022
1312, Young Adult,The Adventures of Tom Sawyer,Mark Twain,3.36,13/10/2022
1313, Dragons,Eragon,Christopher Paolini,2.86,13/10/2022
1314, Classics,Charlie and the Chocolate Factory,Roald Dahl,1.13,13/10/2022
1315, Literature,On the Road,Jack Kerouac,1.91,13/10/2022
1316, Contemporary,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2.94,13/10/2022
1317, Classics,The Very Hungry Caterpillar,Eric Carle,2.42,13/10/2022
1318, Inspirational,Tuesdays with Morrie,Mitch Albom,3.27,13/10/2022
1319, Literature,The Unbearable Lightness of Being,Milan Kundera,11.62,13/10/2022
1320, Classics,The Name of the Rose,Umberto Eco,4.07,13/10/2022
1321, Childrens,Where the Red Fern Grows,Wilson Rawls,5.4,13/10/2022
1322, Magic,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.17,13/10/2022
1323, School,The Scarlet Letter,Nathaniel Hawthorne,1.91,13/10/2022
1324, Crime,In Cold Blood,Truman Capote,6.58,13/10/2022
1325, Thriller,Fight Club,Chuck Palahniuk,10.16,13/10/2022
1326, Fantasy,The Five People You Meet in Heaven,Mitch Albom,3.57,13/10/2022
1327, Paranormal,Hush,Becca Fitzpatrick,2.55,13/10/2022
1328, Fiction,The Cat in the Hat,Dr. Seuss,0.85,13/10/2022
1329, Adventure,The Count of Monte Cristo,Alexandre Dumas,6.13,13/10/2022
1330, Classics,Lonesome Dove,Larry McMurtry,4.55,13/10/2022
1331, Horror,Perfume: The Story of a Murderer,Patrick Süskind,2.6,13/10/2022
1332, Middle Grade,Holes,Louis Sachar,3.1,13/10/2022
1333, Science Fiction,Watchmen,Alan Moore,4.85,13/10/2022
1334, Fantasy,It,Stephen King,5.71,13/10/2022
1335, Fiction,The Last Olympian,Rick Riordan,7.44,22/01/2023
1336, Literature,The Divine Comedy,Dante Alighieri,13.66,22/01/2023
1337, Childrens,Peter Pan,J.M. Barrie,5.26,22/01/2023
1338, War,All Quiet on the Western Front,Erich Maria Remarque,2.32,22/01/2023
1339, Adventure,The Hobbit,J.R.R. Tolkien,4.68,22/01/2023
1340, Fiction,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company,3.17,22/01/2023
1341, Romance,Love in the Time of Cholera,Gabriel García Márquez,3.36,22/01/2023
1342, Paranormal,Shadow Kiss,Richelle Mead,2.76,22/01/2023
1343, Fantasy,The Ultimate Hitchhikers Guide to the Galaxy,Douglas Adams,2.76,22/01/2023
1344, Classics,Atonement,Ian McEwan,2.86,22/01/2023
1345, Drama,The Importance of Being Earnest,Oscar Wilde,5.26,22/01/2023
1346, Biography,Eat Pray Love,Elizabeth Gilbert,5.56,22/01/2023
1347, School,Their Eyes Were Watching God,Zora Neale Hurston,14.2,22/01/2023
1348, Childrens,The Wonderful Wizard of Oz,L. Frank Baum,1.45,22/01/2023
1349, Fiction,Goodnight Moon,Margaret Wise Brown,5.69,22/01/2023
1350, Classics,The Lorax,Dr. Seuss,41.26,22/01/2023
1351, Paranormal,Blood Promise,Richelle Mead,3.73,22/01/2023
1352, China,The Good Earth,Pearl S. Buck,5.27,22/01/2023
1353, Africa,Heart of Darkness,Joseph Conrad,7.19,22/01/2023
1354, Drama,A Midsummer Nights Dream,William Shakespeare,3,22/01/2023
1355, Paranormal,Clockwork Princess,Cassandra Clare,4,22/01/2023
1356, Fiction,The Prophet,Kahlil Gibran,5.8,22/01/2023
1357, Fiction,The Titans Curse,Rick Riordan,3.43,22/01/2023
1358, Fiction,The Sea of Monsters,Rick Riordan,1.91,22/01/2023
1359, China,The Joy Luck Club,Amy Tan,4.74,22/01/2023
1360, Childrens,Alice in Wonderland,Jane Carruth (Adapted By),5.26,22/01/2023
1361, Young Adult,The Call of the Wild,Jack London,5.38,22/01/2023
1362, Fantasy,Jonathan Livingston Seagull,Richard Bach,4.55,22/01/2023
1363, Literature,Madame Bovary,Gustave Flaubert,1.45,22/01/2023
1364, Classics,The Phantom Tollbooth,Norton Juster,5.79,22/01/2023
1365, Dystopia,The Hunger Games Trilogy Boxset,Suzanne Collins,4.09,22/01/2023
1366, Classics,Oh the Places Youll Go!,Dr. Seuss,5.01,22/01/2023
1367, Crime,The Girl Who Played with Fire,Stieg Larsson,3.25,22/01/2023
1368, Fiction,The Maze Runner,James Dashner,3.17,22/01/2023
1369, Young Adult,The Neverending Story,Michael Ende,7.54,22/01/2023
1370, Young Adult,Treasure Island,Robert Louis Stevenson,5.6,22/01/2023
1371, Science Fiction Fantasy,A Storm of Swords,George R.R. Martin,3.57,22/01/2023
1372, Literature,The Canterbury Tales,Geoffrey Chaucer,3.9,22/01/2023
1373, War,A Farewell to Arms,Ernest Hemingway,0.91,22/01/2023
1374, Realistic Fiction,Tote Mädchen lügen nicht,Jay Asher,3.86,22/01/2023
1375, Science Fiction Fantasy,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,2.76,22/01/2023
1376, Historical,Shōgun,James Clavell,7.04,22/01/2023
1377, Novels,Extremely Loud & Incredibly Close,Jonathan Safran Foer,2.41,22/01/2023
1378, Crime,Murder on the Orient Express,Agatha Christie,2.56,22/01/2023
1379, Childrens,His Dark Materials,Philip Pullman,3.57,22/01/2023
1380, Young Adult,A Little Princess,Frances Hodgson Burnett,2.87,22/01/2023
1381, Holocaust,Schindlers List,Thomas Keneally,0.85,22/01/2023
1382, Paranormal,Last Sacrifice,Richelle Mead,3.8,22/01/2023
1383, Historical Fiction,The Night Circus,Erin Morgenstern,7.02,22/01/2023
1384, Paranormal,Fallen,Lauren Kate,4.64,22/01/2023
1385, High Fantasy,The Silmarillion,J.R.R. Tolkien,17.07,22/01/2023
1386, Historical,The Secret Magdalene,Ki Longfellow,5.6,22/01/2023
1387, Magical Realism,Beloved,Toni Morrison,3.8,22/01/2023
1388, Literature,A Confederacy of Dunces,John Kennedy Toole,5.91,22/01/2023
1389, Fantasy,The Selection,Kiera Cass,5.01,22/01/2023
1390, Picture Books,The Velveteen Rabbit,Margery Williams Bianco,5.9,22/01/2023
1391, Fantasy,Catching Fire,Suzanne Collins,3.66,22/01/2023
1392, Fiction,The Lost Hero,Rick Riordan,10.25,22/01/2023
1393, Paranormal,Spirit Bound,Richelle Mead,4.59,22/01/2023
1394, Paranormal,Clockwork Prince,Cassandra Clare,5.69,22/01/2023
1395, Mythology,The Iliad/The Odyssey,Homer,6.15,22/01/2023
1396, Historical Fiction,The Crucible,Arthur Miller,3.98,22/01/2023
1397, Humor,Cats Cradle,Kurt Vonnegut Jr.,5.69,22/01/2023
1398, Contemporary,The God of Small Things,Arundhati Roy,3.17,22/01/2023
1399, Fantasy,The Wind in the Willows,Kenneth Grahame,4.18,22/01/2023
1400, Classics,Girl with a Pearl Earring,Tracy Chevalier,2.86,22/01/2023
1401, Christian,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.17,22/01/2023
1402, Fiction,A Light in the Attic,Shel Silverstein,12.08,22/01/2023
1403, Mystery,The Silence of the Lambs,Thomas Harris,3.11,22/01/2023
1404, Paranormal,Shiver,Maggie Stiefvater,7.05,22/01/2023
1405, Fiction,Uglies,Scott Westerfeld,3.58,22/01/2023
1406, Romance,City of Fallen Angels,Cassandra Clare,4.75,22/01/2023
1407, History,Mans Search for Meaning,Viktor E. Frankl,7.37,22/01/2023
1408, Adult Fiction,Shes Come Undone,Wally Lamb,1.91,22/01/2023
1409, Romance,The Phantom of the Opera,Gaston Leroux,2.86,22/01/2023
1410, Dogs,Marley and Me: Life and Love With the Worlds Worst Dog,John Grogan,5.29,22/01/2023
1411, Romance,Ella Enchanted,Gail Carson Levine,1.91,22/01/2023
1412, Japanese Literature,The Wind-Up Bird Chronicle,Haruki Murakami,22.25,22/01/2023
1413, Thriller,The Green Mile,Stephen King,17.56,22/01/2023
1414, Science Fiction Fantasy,A Clash of Kings,George R.R. Martin,1.91,22/01/2023
1415, Paranormal,Marked,P.C. Cast,1.79,22/01/2023
1416, Romance,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,3.65,22/01/2023
1417, Journalism,Fear and Loathing in Las Vegas,Hunter S. Thompson,5.69,22/01/2023
1418, Classics,The House of the Spirits,Isabel Allende,3.32,22/01/2023
1419, Fiction,The Complete Calvin and Hobbes,Bill Watterson,110.67,22/01/2023
1420, Historical,Roots: The Saga of an American Family,Alex Haley,3.1,22/01/2023
1421, Suspense,Misery,Stephen King,1.12,22/01/2023
1422, Romance,Howls Moving Castle,Diana Wynne Jones,5.95,22/01/2023
1423, Science Fiction Fantasy,Stranger in a Strange Land,Robert A. Heinlein,6.4,22/01/2023
1424, Crime,The Girl Who Kicked the Hornets Nest,Stieg Larsson,1.64,22/01/2023
1425, Literary Fiction,The Secret History,Donna Tartt,9.11,22/01/2023
1426, Adult Fiction,White Oleander,Janet Fitch,4.89,22/01/2023
1427, Science Fiction,Delirium,Lauren Oliver,2.86,22/01/2023
1428, Drama,Othello,William Shakespeare,6.76,22/01/2023
1429, Historical,Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,8.08,22/01/2023
1430, Romance,Paper Towns,John Green,1.61,22/01/2023
1431, Fiction,The Vampire Lestat,Anne Rice,5.68,22/01/2023
1432, Realistic Fiction,Speak,Laurie Halse Anderson,5.07,22/01/2023
1433, Russian Literature,The Idiot,Fyodor Dostoyevsky,5.46,22/01/2023
1434, Fiction,King Lear,William Shakespeare,3.78,22/01/2023
1435, Historical Fiction,The Once and Future King,T.H. White,2.66,22/01/2023
1436, Literary Fiction,I Know This Much Is True,Wally Lamb,2.94,22/01/2023
1437, Science Fiction Fantasy,Neverwhere,Neil Gaiman,4.66,22/01/2023
1438, Adventure,Into the Wild,Jon Krakauer,3.75,22/01/2023
1439, Childrens,Inkheart,Cornelia Funke,3.52,22/01/2023
1440, Fantasy,Lamb: The Gospel According to Biff,Christopher Moore,3.56,22/01/2023
1441, Crime,The Complete Sherlock Holmes,Arthur Conan Doyle,11.24,22/01/2023
1442, France,Candide,Voltaire,1.45,22/01/2023
1443, Classics,James and the Giant Peach,Roald Dahl,5.4,22/01/2023
1444, History,Blood River: A Journey to Africas Broken Heart,Tim Butcher,2.76,22/01/2023
1445, Literature,Paradise Lost,John Milton,1.91,22/01/2023
1446, Classics,All Creatures Great and Small,James Herriot,2.63,22/01/2023
1447, Plays,The Complete Works,William Shakespeare,4.44,22/01/2023
1448, Gothic,The Thirteenth Tale,Diane Setterfield,1.76,22/01/2023
1449, Science Fiction Fantasy,Foundation,Isaac Asimov,15.29,22/01/2023
1450, Japanese Literature,Norwegian Wood,Haruki Murakami,13,22/01/2023
1451, Classics,The Things They Carried,Tim OBrien,3.32,22/01/2023
1452, Literature,The Cider House Rules,John Irving,5.14,22/01/2023
1453, Thriller,Different Seasons,Stephen King,3.11,22/01/2023
1454, Fantasy,Kafka on the Shore,Haruki Murakami,8.22,22/01/2023
1455, Young Adult,Heidi,Johanna Spyri,2.49,22/01/2023
1456, Classics,Are You There God? Its Me,Judy Blume,11.9,22/01/2023
1457, Romance,City of Lost Souls,Cassandra Clare,5.26,22/01/2023
1458, Young Adult,Sophies World,Jostein Gaarder,3.43,22/01/2023
1459, High Fantasy,The Wise Mans Fear,Patrick Rothfuss,16.37,22/01/2023
1460, School,The Awakening,Kate Chopin,10.36,22/01/2023
1461, Holocaust,Sophies Choice,William Styron,4.08,22/01/2023
1462, Romance,The Prince of Tides,Pat Conroy,7.15,22/01/2023
1463, Contemporary,Never Let Me Go,Kazuo Ishiguro,6.46,22/01/2023
1464, Fiction,The Son of Neptune,Rick Riordan,6.42,22/01/2023
1465, Urban Fantasy,Dead Until Dark,Charlaine Harris,3.16,22/01/2023
1466, Classics,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,16.54,22/01/2023
1467, BDSM,Fifty Shades Darker,E.L. James,6.33,22/01/2023
1468, Fantasy,Ready Player One,Ernest Cline,16.53,22/01/2023
1469, Literature,Middlemarch,George Eliot,5.49,22/01/2023
1470, Humor,The Monster at the End of this Book,Jon Stone,5.46,22/01/2023
1471, Humor,Bridget Joness Diary,Helen Fielding,4.48,22/01/2023
1472, Novels,Mrs. Dalloway,Virginia Woolf,1.33,22/01/2023
1473, Fantasy,Mockingjay,Suzanne Collins,3.43,22/01/2023
1474, Literature,Franny and Zooey,J.D. Salinger,4.19,22/01/2023
1475, Classics,The Power of One,Bryce Courtenay,4,22/01/2023
1476, Young Adult,The Magicians Nephew,C.S. Lewis,2.86,22/01/2023
1477, Young Adult,Stardust,Neil Gaiman,6.7,22/01/2023
1478, Classics,Number the Stars,Lois Lowry,8.29,22/01/2023
1479, Science Fiction,Allegiant,Veronica Roth,2.76,22/01/2023
1480, Fiction,Eleanor & Park,Rainbow Rowell,1.06,22/01/2023
1481, Audiobook,A Short History of Nearly Everything,Bill Bryson,2.17,22/01/2023
1482, Chick Lit,Me Before You,Jojo Moyes,3.14,22/01/2023
1483, Fiction,The Mark of Athena,Rick Riordan,5.11,22/01/2023
1484, Dogs,The Art of Racing in the Rain,Garth Stein,5.27,22/01/2023
1485, High Fantasy,The Way of Kings,Brandon Sanderson,22.74,22/01/2023
1486, Fiction,If I Stay,Gayle Forman,3.82,22/01/2023
1487, Animals,Black Beauty,Anna Sewell,3.16,22/01/2023
1488, Irish Literature,A Portrait of the Artist as a Young Man,James Joyce,5.87,22/01/2023
1489, Adventure,Gullivers Travels,Jonathan Swift,3.27,22/01/2023
1490, Book Club,Bel Canto,Ann Patchett,2.86,22/01/2023
1491, Classics,American Psycho,Bret Easton Ellis,3.34,22/01/2023
1492, Dystopia,V for Vendetta,Alan Moore,14.65,22/01/2023
1493, Classics,Love You Forever,Robert Munsch,3.46,22/01/2023
1494, Classics,The Witches,Roald Dahl,3.84,22/01/2023
1495, Horror,The Graveyard Book,Neil Gaiman,3.87,22/01/2023
1496, Historical Fiction,The Complete Novels,Jane Austen,2.76,22/01/2023
1497, BDSM,Fifty Shades Freed,E.L. James,4,22/01/2023
1498, Romance,Cold Mountain,Charles Frazier,4.21,22/01/2023
1499, Animals,White Fang,Jack London,3.16,22/01/2023
1500, Fantasy,Beowulf,Unknown,4.55,22/01/2023
1501, Fiction,Tuck Everlasting,Natalie Babbitt,3.1,22/01/2023
1502, High Fantasy,The Final Empire,Brandon Sanderson,20.93,22/01/2023
1503, Romance,Beautiful Creatures,Kami Garcia,6.29,22/01/2023
1504, German Literature,Steppenwolf,Hermann Hesse,2.71,22/01/2023
1505, Dragons,Eldest,Christopher Paolini,3.11,22/01/2023
1506, Paranormal Romance,Dark Lover,J.R. Ward,3.89,22/01/2023
1507, Contemporary,Go Ask Alice,Beatrice Sparks (as Anonymous),2.98,22/01/2023
1508, High Fantasy,The Eye of the World,Robert Jordan,5.13,22/01/2023
1509, Short Stories,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,5.58,22/01/2023
1510, Novels,As I Lay Dying,William Faulkner,3.81,22/01/2023
1511, Historical Fiction,A Separate Peace,John Knowles,2.82,22/01/2023
1512, History,The Complete Maus,Art Spiegelman,13.84,22/01/2023
1513, Historical Fiction,Mansfield Park,Jane Austen,3.11,22/01/2023
1514, Literature,The Amazing Adventures of Kavalier & Clay,Michael Chabon,3.76,22/01/2023
1515, Dragons,Brisingr,Christopher Paolini,3.92,22/01/2023
1516, Psychology,A Child Called It,Dave Pelzer,2.93,22/01/2023
1517, Realistic Fiction,Stargirl,Jerry Spinelli,2.25,22/01/2023
1518, Classics,Tao Te Ching,Lao Tzu,8,22/01/2023
1519, Contemporary,Dear John,Nicholas Sparks,1.64,22/01/2023
1520, Classics,Midnights Children,Salman Rushdie,0.85,22/01/2023
1521, Fantasy,Salems Lot,Stephen King,1.12,22/01/2023
1522, Short Stories,The Martian Chronicles,Ray Bradbury,3.63,22/01/2023
1523, Paranormal,Crescendo,Becca Fitzpatrick,5.8,22/01/2023
1524, Romance,The English Patient,Michael Ondaatje,16.05,22/01/2023
1525, Literature,East of Eden,John Steinbeck,5.26,22/01/2023
1526, Historical Fiction,Cloud Atlas,David Mitchell,1.15,22/01/2023
1527, Spirituality,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,4.41,22/01/2023
1528, Adventure,The Martian,Andy Weir,2.63,22/01/2023
1529, Suspense,The Firm,John Grisham,3.09,22/01/2023
1530, Contemporary,The Last Song,Nicholas Sparks,3.28,22/01/2023
1531, Literature,My Ántonia,Willa Cather,2.86,22/01/2023
1532, Romance,Shatter Me,Tahereh Mafi,4.81,22/01/2023
1533, Science Fiction,The Amber Spyglass,Philip Pullman,1.64,22/01/2023
1534, Russia,Doctor Zhivago,Boris Pasternak,6.56,22/01/2023
1535, France,The Hunchback of Notre-Dame,Victor Hugo,3.32,10/08/2023
1536, Literature,Inferno,Dante Alighieri,5.34,10/08/2023
1537, Historical Fiction,Like Water for Chocolate,Laura Esquivel,2.6,10/08/2023
1538, Fiction,Dragonfly in Amber,Diana Gabaldon,4.8,10/08/2023
1539, Humor,Breakfast of Champions,Kurt Vonnegut Jr.,2.82,10/08/2023
1540, Classics,The BFG,Roald Dahl,2.75,10/08/2023
1541, Young Adult Fantasy,Six of Crows,Leigh Bardugo,5.78,10/08/2023
1542, Magic,Harry Potter Series Box Set,J.K. Rowling,77.25,10/08/2023
1543, Biology,The Origin of Species,Charles Darwin,5.58,10/08/2023
1544, Canada,A Fine Balance,Rohinton Mistry,7.31,10/08/2023
1545, Paranormal,Daughter of Smoke & Bone,Laini Taylor,4.99,10/08/2023
1546, Science Fiction,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.35,10/08/2023
1547, Paranormal,City of Heavenly Fire,Cassandra Clare,8.37,10/08/2023
1548, Romance,Evermore,Alyson Noel,1.45,10/08/2023
1549, Drama,Death of a Salesman,Arthur Miller,3.92,10/08/2023
1550, Time Travel,11/22/63,Stephen King,6.21,10/08/2023
1551, Crime,Midnight in the Garden of Good and Evil,John Berendt,4.43,10/08/2023
1552, Fiction,A Streetcar Named Desire,Tennessee Williams,5.26,10/08/2023
1553, Novels,Infinite Jest,David Foster Wallace,10.18,10/08/2023
1554, Politics,The Prince,Niccolò Machiavelli,5.68,10/08/2023
1555, Drama,Hamlet,William Shakespeare,2.2,10/08/2023
1556, Poetry,Faust,Johann Wolfgang von Goethe,6.32,10/08/2023
1557, Chick Lit,Anna and the French Kiss,Stephanie Perkins,3.11,10/08/2023
1558, Science Fiction Fantasy,A Feast for Crows,George R.R. Martin,5,10/08/2023
1559, Fiction,The Angel Experiment,James Patterson,3.43,10/08/2023
1560, Science Fiction,Matched,Ally Condie,1.64,10/08/2023
1561, Mystery,Flowers in the Attic,V.C. Andrews,8.77,10/08/2023
1562, Canada,The Shipping News,Annie Proulx,1.29,10/08/2023
1563, World War II,Unbroken: A World War II Story of Survival,Laura Hillenbrand,1.15,10/08/2023
1564, Young Adult,The Chosen,Chaim Potok,2,10/08/2023
1565, Humor,High Fidelity,Nick Hornby,2.58,10/08/2023
1566, War,All the Light We Cannot See,Anthony Doerr,4.45,10/08/2023
1567, Mystery,Houdini Heart,Ki Longfellow,4.58,10/08/2023
1568, Middle Grade,Artemis Fowl,Eoin Colfer,4.97,10/08/2023
1569, Young Adult,Pippi Longstocking,Astrid Lindgren,6.7,10/08/2023
1570, Short Stories,The Tales of Beedle the Bard,J.K. Rowling,1.79,10/08/2023
1571, Young Adult,The Virgin Suicides,Jeffrey Eugenides,2.67,10/08/2023
1572, Classics,The Reader,Bernhard Schlink,3.16,10/08/2023
1573, Adult,Nineteen Minutes,Jodi Picoult,2.66,10/08/2023
1574, Fiction,The House of Hades,Rick Riordan,8,10/08/2023
1575, Adventure,Shantaram,Gregory David Roberts,5.97,10/08/2023
1576, Crime,The Devil in the White City: Murder,Erik Larson,6.78,10/08/2023
1577, Romance,Redeeming Love,Francine Rivers,3.81,10/08/2023
1578, Romance,The Age of Innocence,Edith Wharton,3.77,10/08/2023
1579, Romance,The Host,Stephenie Meyer,3.89,10/08/2023
1580, Mystery Thriller,The Lost Symbol,Dan Brown,0.85,10/08/2023
1581, Paranormal,Betrayed,P.C. Cast,3.38,10/08/2023
1582, Literature,The Grapes of Wrath,John Steinbeck,27.35,10/08/2023
1583, Historical Fiction,Northanger Abbey,Jane Austen,0.85,10/08/2023
1584, Young Adult,The Voyage of the Dawn Treader,C.S. Lewis,7.83,10/08/2023
1585, Ireland,Dubliners,James Joyce,2.74,10/08/2023
1586, Paranormal Romance,Lover Awakened,J.R. Ward,2.5,10/08/2023
1587, New Adult,A Court of Thorns and Roses,Sarah J. Maas,18.9,10/08/2023
1588, Adult Fiction,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1.71,10/08/2023
1589, Literature,The Waste Land,T.S. Eliot,5.26,10/08/2023
1590, Paranormal,Untamed,P.C. Cast,2.87,10/08/2023
1591, Novels,Everything Is Illuminated,Jonathan Safran Foer,1.45,10/08/2023
1592, Magic,Crown of Midnight,Sarah J. Maas,18.19,10/08/2023
1593, Biography,I Know Why the Caged Bird Sings,Maya Angelou,4.64,10/08/2023
1594, Short Stories,I Robot,Isaac Asimov,8.99,10/08/2023
1595, Romance,The Twilight Collection,Stephenie Meyer,28.05,10/08/2023
1596, School,The Pearl,John Steinbeck,12.38,10/08/2023
1597, Fantasy,The One,Kiera Cass,3.39,10/08/2023
1598, Literature,The Jungle,Upton Sinclair,2.94,10/08/2023
1599, Paranormal,Carrie,Stephen King,7.01,10/08/2023
1600, Historical,Snow Falling on Cedars,David Guterson,1.79,10/08/2023
1601, Fiction,Voyager,Diana Gabaldon,5.97,10/08/2023
1602, Historical,I Claudius,Robert Graves,3.38,10/08/2023
1603, Magic,Heir of Fire,Sarah J. Maas,8.99,10/08/2023
1604, Essays,Me Talk Pretty One Day,David Sedaris,1.44,10/08/2023
